Date,Apple Return,Dell Return,IBM Return,Microsoft Return,Value-weighted Market Return,SP 500 Return,"Price, Dell","Price, Apple","Price, IBM","Price, Microsoft",Calendar Date
1990.04167,-0.035461,-0.1590909,0.04780877,0.06321839,-0.070115,-0.068817,4.625,34,98.625,92.5,19900131
1990.125,0.003235,0.35135135,0.06550063,0.06756756,0.014901,0.008539,6.25,34,103.875,98.75,19900228
1990.20833,0.183824,0.22,0.02166065,0.12151898,0.02414,0.024255,7.625,40.25,106.125,110.75,19900330
1990.29167,-0.021739,0.1147541,0.02709069,0.04740406,-0.028286,-0.026887,8.5,39.375,109,58,19900430
1990.375,0.050413,0.29411766,0.11201835,0.25862068,0.088936,0.091989,11,41.25,120,73,19900531
1990.45833,0.084848,0.14772727,-0.0208333,0.04109589,-0.004196,-0.008886,12.625,44.75,117.5,76,19900629
1990.54167,-0.061453,-0.0693069,-0.0510638,-0.125,-0.009405,-0.005223,11.75,42,111.5,66.5,19900731
1990.625,-0.116429,0,-0.0754709,-0.075188,-0.091896,-0.094314,11.75,37,101.875,61.5,19900831
1990.70833,-0.216216,-0.2553191,0.04417178,0.02439024,-0.053843,-0.051184,8.75,29,106.375,63,19900928
1990.79167,0.060345,0.21428572,-0.0094007,0.01190476,-0.012504,-0.006698,10.625,30.75,105.375,63.75,19901031
1990.875,0.199024,0.23529412,0.08977462,0.13333334,0.065744,0.059934,13.125,36.75,113.625,72.25,19901130
1990.95833,0.170068,0.40952381,-0.0055006,0.04152249,0.029513,0.024828,18.5,43,113,75.25,19901231
1991.04167,0.290698,0.22297297,0.12168141,0.3039867,0.049078,0.041518,22.625,55.5,126.75,98.125,19910131
1991.125,0.033694,0.1160221,0.02532544,0.05732484,0.075847,0.067281,25.25,57.25,128.75,103.75,19910228
1991.20833,0.187773,0.12871288,-0.115534,0.02289157,0.028923,0.022203,28.5,68,113.875,106.125,19910328
1991.29167,-0.191176,-0.1798246,-0.0954994,-0.0671378,0.003322,0.000346,23.375,55,103,99,19910430
1991.375,-0.143273,0.05882353,0.04208738,0.10858586,0.040732,0.038577,24.75,47,106.125,109.75,19910531
1991.45833,-0.117021,-0.010101,-0.0848057,-0.0689066,-0.044029,-0.047893,24.5,41.5,97.125,68.125,19910628
1991.54167,0.114458,0.17346939,0.04247104,0.07889909,0.046795,0.044859,28.75,46.25,101.25,73.5,19910731
1991.625,0.148541,0.13478261,-0.0312593,0.15986395,0.026819,0.019649,32.625,53,96.875,85.25,19910830
1991.70833,-0.066038,0.02298851,0.06967742,0.04398827,-0.010975,-0.019144,33.375,49.5,103.625,89,19910930
1991.79167,0.040404,-0.2546816,-0.0518697,0.05477528,0.017789,0.01186,24.875,51.5,98.25,93.875,19911031
1991.875,-0.012233,-0.0552764,-0.0462087,0.03595207,-0.037275,-0.043928,23.5,50.75,92.5,97.25,19911129
1991.95833,0.110837,0.09042553,-0.0378378,0.14395887,0.106778,0.111588,25.625,56.375,89,111.25,19911231
1992.04167,0.148559,0.24390244,0.01123596,0.08089887,-0.001182,-0.0199,31.875,64.75,90,120.25,19920131
1992.125,0.044324,0.09411765,-0.0212778,0.02702703,0.013354,0.009565,34.875,67.5,86.875,123.5,19920228
1992.20833,-0.137037,0.04301075,-0.0388489,-0.0404858,-0.0237,-0.021832,36.375,58.25,83.5,118.5,19920331
1992.29167,0.032189,0.08247422,0.08682635,-0.0696203,0.013419,0.027893,26.25,60.125,90.75,110.25,19920430
1992.375,-0.006237,0.02380952,0.01333333,0.09750567,0.006439,0.000964,26.875,59.75,90.75,121,19920529
1992.45833,-0.194644,-0.3255814,0.0785124,-0.1322314,-0.019287,-0.017359,18.125,48,97.875,70,19920630
1992.54167,-0.026042,0.26896551,-0.0319285,0.03928572,0.0399,0.039374,23,46.75,94.75,72.75,19920731
1992.625,-0.013476,0.09782609,-0.0729815,0.02405498,-0.02082,-0.023998,25.25,46,86.625,74.5,19920831
1992.70833,-0.019022,0.13366337,-0.0678211,0.08053691,0.012447,0.009106,28.625,45.125,80.75,80.5,19920930
1992.79167,0.163435,0.19213974,-0.1718266,0.10248447,0.010986,0.002106,34.125,52.5,66.875,88.75,19921030
1992.875,0.097524,0.07692308,0.0386542,0.04929578,0.040193,0.030262,36.75,57.5,68.25,93.125,19921130
1992.95833,0.03913,0.30612245,-0.2619048,-0.0832215,0.017768,0.010108,48,59.75,50.375,85.375,19921231
1993.04167,-0.004184,-0.0364583,0.02233251,0.01317716,0.012643,0.007046,46.25,59.5,51.5,86.5,19930129
1993.125,-0.107227,-0.3054054,0.06631068,-0.0361272,0.005402,0.010484,32.125,53,54.375,83.375,19930226
1993.20833,-0.028302,0.09338521,-0.0643678,0.10944527,0.025116,0.018697,35.125,51.5,50.875,92.5,19930331
1993.29167,-0.004854,-0.1743772,-0.044226,-0.0756757,-0.0254,-0.025417,29,51.25,48.625,85.5,19930430
1993.375,0.10722,-0.1637931,0.0959383,0.08333334,0.029598,0.022717,24.25,56.625,52.75,92.625,19930528
1993.45833,-0.302428,-0.2268041,-0.063981,-0.0499325,0.00544,0.000755,18.75,39.5,49.375,88,19930630
1993.54167,-0.297468,0.07333333,-0.0987342,-0.1590909,-0.000795,-0.005327,20.125,27.75,44.5,74,19930730
1993.625,-0.040721,-0.0869565,0.03370786,0.0152027,0.039479,0.034432,18.375,26.5,45.75,75.125,19930831
1993.70833,-0.117925,-0.0952381,-0.0819672,0.09816971,0.000641,-0.009988,16.625,23.375,42,82.5,19930930
1993.79167,0.315508,0.21804512,0.0952381,-0.0287879,0.018064,0.019393,20.25,30.75,46,80.125,19931029
1993.875,0.028293,0.33950618,0.17663044,-0.0015601,-0.017606,-0.012911,27.125,31.5,53.875,80,19931130
1993.95833,-0.071429,-0.1658986,0.0487239,0.0078125,0.019513,0.010091,22.625,29.25,56.5,80.625,19931231
1994.04167,0.119658,-0.0276243,0,0.05581395,0.031466,0.032501,22,32.75,56.5,85.125,19940131
1994.125,0.118168,0.13636364,-0.0597345,-0.030837,-0.024224,-0.030045,25,36.5,52.875,82.5,19940228
