SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT_OPEN_HOUSE_START_TIME,NEXT_OPEN_HOUSE_END_TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,725 Pine St #204,San Francisco,CA,94108,193724,0,1,Downtown,288,,1920,116,673,507,Active,,,http://www.redfin.com/CA/San-Francisco/725-Pine-St-94108/unit-204/home/17306113,San Francisco MLS,453971,N,Y,37.7910139,-122.407697
MLS Listing,,Condo/Co-op,260 King St #401,San Francisco,CA,94107,212624,0,1,Mission Bay,703,,2004,18,302,750,Active,,,http://www.redfin.com/CA/San-Francisco/260-King-St-94107/unit-401/home/12401923,San Francisco MLS,457588,N,Y,37.7772049,-122.3940134
MLS Listing,,Condo/Co-op,901 Bayshore Blvd #203,San Francisco,CA,94124,330000,1,1,Silver Terrace,606,,2003,21,545,336,Active,,,http://www.redfin.com/CA/San-Francisco/901-Bayshore-Blvd-94124/unit-203/home/11743704,San Francisco MLS,457543,N,Y,37.7326762,-122.4042747
MLS Listing,,Condo/Co-op,901 Bayshore Blvd #406,San Francisco,CA,94124,340000,1,1,Silver Terrace,550,,2003,21,618,311,Active,,,http://www.redfin.com/CA/San-Francisco/901-Bayshore-Blvd-94124/unit-406/home/12401952,San Francisco MLS,457542,N,Y,37.7326762,-122.4042747
MLS Listing,,Condo/Co-op,1450 Post St #412,San Francisco,CA,94109,350000,1,1,Lower Pacific Height,715,,1992,12,490,4544,Active,,,http://www.redfin.com/CA/San-Francisco/1450-Post-St-94109/unit-412/home/571788,San Francisco MLS,455844,N,Y,37.7863607,-122.4258197
MLS Listing,,Townhouse,100 Otter Cove Ter,San Francisco,CA,94134,371790,3,3.5,Bayview Heights,1525,9717,2010,20,244,383,Active,,,http://www.redfin.com/CA/San-Francisco/100-Otter-Cove-Ter-94134/home/45438551,San Francisco MLS,457563,N,Y,37.71224,-122.394839
MLS Listing,,Condo/Co-op,1200 California St Unit MR11,San Francisco,CA,94109,379000,0,1,Nob Hill,260,,,14,1458,303,Active,,,http://www.redfin.com/CA/San-Francisco/1200-California-St-94109/unit-MR11/home/12400447,San Francisco MLS,457800,N,Y,37.791656,-122.4145259
MLS Listing,,Condo/Co-op,370 Imperial Way #113,DALY CITY,CA,94015,388000,1,1,DALY CITY,717,,1974,167,541,352,Active,,,http://www.redfin.com/CA/Daly-City/370-Imperial-Way-94015/unit-113/home/1662487,MLSListings,ML81633310,N,Y,37.6657071,-122.4641064
MLS Listing,,Condo/Co-op,195 7th St #307,San Francisco,CA,94103,399000,0,1,South of Market,298,,1991,21,1339,309,Active,May-27-2017 02:00 PM,May-27-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/195-7th-St-94103/unit-307/home/1292370,San Francisco MLS,457449,N,Y,37.7783013,-122.4094944
MLS Listing,,Condo/Co-op,1155 Leavenworth St #7,San Francisco,CA,94109,405000,0,1,Nob Hill,320,,1911,4,1266,290,Active,May-27-2017 02:00 PM,May-27-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1155-Leavenworth-St-94109/unit-7/home/102818092,San Francisco MLS,456796,N,Y,37.7919586,-122.4161235
MLS Listing,,Condo/Co-op,335 Berry St #406,San Francisco,CA,94158,405687,2,2,Mission Bay,921,,2009,33,440,457,Active,,,http://www.redfin.com/CA/San-Francisco/335-Berry-St-94158/unit-406/home/28939211,San Francisco MLS,456914,N,Y,37.7729481,-122.3963192
MLS Listing,,Condo/Co-op,766 Harrison St #811,San Francisco,CA,94107,418000,0,1,Yerba Buena,262,,2008,21,1595,265,Active,,,http://www.redfin.com/CA/San-Francisco/766-Harrison-St-94107/unit-811/home/39608615,San Francisco MLS,457537,N,Y,37.7816549,-122.3991347
MLS Listing,,Condo/Co-op,381 Half Moon Ln #311,DALY CITY,CA,94015,429888,1,1,DALY CITY,717,1057906,1974,25,600,380,Active,,,http://www.redfin.com/CA/Daly-City/381-Half-Moon-Ln-94015/unit-311/home/1146880,MLSListings,ML81648838,N,Y,37.6648782,-122.4647688
MLS Listing,,Condo/Co-op,195 7th St #406,San Francisco,CA,94103,430000,0,1,South of Market,291,,1991,39,1478,323,Active,,,http://www.redfin.com/CA/San-Francisco/195-7th-St-94103/unit-406/home/718519,San Francisco MLS,456842,N,Y,37.7783013,-122.4094944
MLS Listing,,Condo/Co-op,195 7th St #102,San Francisco,CA,94103,458888,0,1,South of Market,364,,1991,73,1261,330,Active,,,http://www.redfin.com/CA/San-Francisco/195-7th-St-94103/unit-102/home/719094,San Francisco MLS,455376,N,Y,37.7783013,-122.4094944
