doctor_id,hospital_type,response,satisfaction
1,large,0,NA
2,small,0,NA
3,small,1,3
4,small,0,NA
5,small,1,1
6,medium,0,NA
7,medium,1,4
8,small,0,NA
9,large,0,NA
10,small,1,3
11,small,0,NA
12,medium,0,NA
13,large,0,NA
14,medium,0,NA
15,large,1,5
16,large,1,5
17,medium,0,NA
18,medium,1,3
19,small,0,NA
20,large,1,5
21,large,1,4
22,medium,1,5
23,large,0,NA
24,medium,0,NA
25,large,1,3
26,large,1,5
27,medium,1,5
28,small,1,4
29,medium,0,NA
30,medium,1,3
31,small,0,NA
32,large,0,NA
33,small,0,NA
34,small,0,NA
35,large,1,5
36,small,0,NA
37,small,0,NA
38,small,0,NA
39,medium,1,5
40,medium,0,NA
41,large,0,NA
42,small,0,NA
43,medium,0,NA
44,small,1,1
45,medium,0,NA
46,large,0,NA
47,medium,1,2
48,large,1,3
49,medium,1,2
50,large,1,5
51,large,1,4
52,small,1,3
53,large,0,NA
54,large,0,NA
55,large,1,5
56,small,0,NA
57,large,0,NA
58,medium,1,3
59,medium,0,NA
60,medium,0,NA
61,small,0,NA
62,large,0,NA
63,medium,0,NA
64,large,0,NA
65,medium,0,NA
66,small,0,NA
67,medium,0,NA
68,medium,0,NA
69,medium,0,NA
70,large,1,2
71,large,1,3
72,small,0,NA
73,large,1,4
74,large,0,NA
75,large,1,4
76,small,0,NA
77,small,0,NA
78,medium,1,3
79,small,0,NA
80,medium,0,NA
81,small,0,NA
82,large,1,5
83,medium,1,4
84,large,0,NA
85,large,0,NA
86,medium,0,NA
87,medium,1,5
88,small,0,NA
89,medium,0,NA
90,large,1,5
91,medium,0,NA
92,medium,0,NA
93,medium,1,3
94,medium,0,NA
95,large,1,5
96,medium,1,4
97,large,0,NA
98,medium,1,4
99,medium,0,NA
100,medium,0,NA
101,small,0,NA
102,small,0,NA
103,medium,0,NA
104,large,1,5
105,small,0,NA
106,medium,0,NA
107,small,0,NA
108,small,0,NA
109,medium,0,NA
110,medium,1,1
111,medium,0,NA
112,large,1,5
113,large,1,4
114,small,0,NA
115,small,0,NA
116,medium,0,NA
117,small,0,NA
118,large,1,4
119,large,0,NA
120,large,1,5
121,small,0,NA
122,small,0,NA
123,large,1,5
124,small,0,NA
125,medium,1,3
126,large,1,5
127,medium,1,5
128,medium,0,NA
129,medium,0,NA
130,large,0,NA
131,small,0,NA
132,medium,0,NA
133,small,0,NA
134,small,0,NA
135,large,1,5
136,medium,0,NA
137,small,0,NA
138,large,1,4
139,medium,0,NA
140,small,0,NA
141,large,1,5
142,large,1,5
143,large,1,4
144,medium,0,NA
145,small,0,NA
146,large,0,NA
147,medium,1,4
148,medium,0,NA
149,small,0,NA
150,small,0,NA
151,small,0,NA
152,small,0,NA
153,large,1,5
154,large,1,4
155,large,1,5
156,large,0,NA
157,large,0,NA
158,large,1,5
159,small,0,NA
160,large,0,NA
161,large,0,NA
162,small,1,1
163,medium,1,1
164,small,1,2
165,medium,1,3
166,medium,1,2
167,small,0,NA
168,small,0,NA
169,large,1,4
170,medium,0,NA
171,small,1,3
172,large,1,4
173,large,1,5
174,small,0,NA
175,large,1,4
176,medium,1,3
177,large,1,4
178,small,0,NA
179,medium,0,NA
180,medium,0,NA
181,medium,1,5
182,medium,1,3
183,medium,0,NA
184,large,1,5
185,medium,0,NA
186,small,0,NA
187,medium,1,3
188,large,1,4
189,medium,0,NA
190,large,1,2
191,medium,0,NA
192,small,0,NA
193,large,1,4
194,large,1,4
195,medium,0,NA
196,large,1,5
197,large,1,5
198,medium,0,NA
199,small,0,NA
200,large,1,5
201,medium,0,NA
202,medium,1,5
203,small,1,4
204,small,0,NA
205,large,0,NA
206,large,1,5
207,medium,0,NA
208,small,0,NA
209,small,0,NA
210,medium,1,4
211,large,1,5
212,large,0,NA
213,small,0,NA
214,medium,1,3
215,small,1,1
216,large,1,4
217,medium,0,NA
218,small,0,NA
219,medium,0,NA
220,medium,0,NA
221,medium,0,NA
222,medium,0,NA
223,large,1,4
224,small,1,1
225,large,1,5
226,small,1,2
227,medium,1,1
228,small,1,5
229,large,1,3
230,medium,0,NA
231,large,1,5
232,large,1,3
233,large,1,2
234,small,0,NA
235,large,0,NA
236,medium,0,NA
237,small,0,NA
238,large,1,2
239,medium,0,NA
240,large,0,NA
241,large,1,5
242,medium,1,5
243,medium,1,3
244,large,1,5
245,small,1,2
246,large,1,5
247,small,0,NA
248,medium,0,NA
249,small,0,NA
250,large,1,5
251,small,0,NA
252,medium,0,NA
253,large,1,4
254,medium,0,NA
255,large,1,5
256,large,1,3
257,medium,0,NA
258,small,1,1
259,medium,1,5
260,small,0,NA
261,medium,0,NA
262,medium,0,NA
263,medium,0,NA
264,small,0,NA
265,small,0,NA
266,medium,0,NA
267,large,0,NA
268,small,1,1
269,small,0,NA
270,small,0,NA
271,small,0,NA
272,medium,0,NA
273,medium,1,1
274,medium,0,NA
275,medium,0,NA
276,large,1,4
277,large,1,5
278,large,1,5
279,medium,1,3
280,large,0,NA
281,large,0,NA
282,medium,1,5
283,medium,1,2
284,small,0,NA
285,large,0,NA
286,large,0,NA
287,medium,0,NA
288,large,1,5
289,medium,0,NA
290,small,0,NA
291,large,1,5
292,small,1,3
293,medium,0,NA
294,small,0,NA
295,medium,1,5
