DayofMonth,DayOfWeek,Carrier,Origin,Origin City,Dest,Dest City,Departure Delay (mins),Arrival Delay (min),Schd Elapsed Time,Actual Elapsed Time
7,5,American,JFK,"New York, NY",LAX,"Los Angeles, CA",-3,-19,364,348
25,2,American,SFO,"San Francisco, CA",JFK,"New York, NY",-9,-31,343,321
23,7,American,PDX,"Portland, OR",ORD,"Chicago, IL",-2,-26,243,219
21,5,American,DEN,"Denver, CO",MIA,"Miami, FL",4,5,236,237
18,2,American,MIA,"Miami, FL",IAH,"Houston, TX",-6,-19,163,150
15,6,American,JFK,"New York, NY",MIA,"Miami, FL",73,58,213,198
8,6,American,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",0,-5,235,230
27,4,American,LAX,"Los Angeles, CA",BOS,"Boston, MA",-2,-20,340,322
7,5,American,ELP,"El Paso, TX",DFW,"Dallas/Fort Worth, TX",-7,-10,108,105
15,6,American,LAS,"Las Vegas, NV",DFW,"Dallas/Fort Worth, TX",-2,-6,165,161
25,2,American,LAS,"Las Vegas, NV",ORD,"Chicago, IL",-2,-5,222,219
12,3,American,BOS,"Boston, MA",JFK,"New York, NY",0,-15,82,67
4,2,American,OGG,"Kahului, HI",LAX,"Los Angeles, CA",0,-33,328,295
8,6,American,SFO,"San Francisco, CA",MIA,"Miami, FL",-1,-3,336,334
4,2,American,MIA,"Miami, FL",LGA,"New York, NY",-1,-20,177,158
11,2,American,DFW,"Dallas/Fort Worth, TX",MCI,"Kansas City, MO",-3,-9,100,94
18,2,American,DFW,"Dallas/Fort Worth, TX",MFE,"Mission/McAllen/Edinburg, TX",-6,-16,92,82
3,1,American,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",0,-17,255,238
6,4,American,MFE,"Mission/McAllen/Edinburg, TX",DFW,"Dallas/Fort Worth, TX",-8,-15,98,91
11,2,American,TPA,"Tampa, FL",MIA,"Miami, FL",0,-12,65,53
24,1,American,BWI,"Baltimore, MD",DFW,"Dallas/Fort Worth, TX",-6,-6,201,201
19,3,American,PHX,"Phoenix, AZ",DFW,"Dallas/Fort Worth, TX",2,-6,144,136
25,2,American,LAS,"Las Vegas, NV",ORD,"Chicago, IL",0,-15,232,217
11,2,American,CLT,"Charlotte, NC",DFW,"Dallas/Fort Worth, TX",3,38,158,193
3,1,American,ORD,"Chicago, IL",BOS,"Boston, MA",7,-13,153,133
19,3,American,ORD,"Chicago, IL",LGA,"New York, NY",-3,-21,134,116
6,4,American,SAN,"San Diego, CA",DFW,"Dallas/Fort Worth, TX",0,-1,187,186
28,5,American,EWR,"Newark, NJ",DFW,"Dallas/Fort Worth, TX",-5,-37,224,192
26,3,American,ORD,"Chicago, IL",LAX,"Los Angeles, CA",0,-38,275,237
13,4,American,MIA,"Miami, FL",PHL,"Philadelphia, PA",-1,-7,167,161
11,2,American,DFW,"Dallas/Fort Worth, TX",COS,"Colorado Springs, CO",-5,-13,116,108
30,7,American,DFW,"Dallas/Fort Worth, TX",COS,"Colorado Springs, CO",-6,-17,116,105
9,7,American,LGA,"New York, NY",DFW,"Dallas/Fort Worth, TX",-6,-19,245,232
17,1,American,DFW,"Dallas/Fort Worth, TX",LGA,"New York, NY",33,7,216,190
24,1,American,RNO,"Reno, NV",DFW,"Dallas/Fort Worth, TX",0,-8,193,185
30,7,American,DCA,"Washington, DC",MIA,"Miami, FL",64,69,168,173
18,2,American,LGA,"New York, NY",DFW,"Dallas/Fort Worth, TX",-5,-33,227,199
9,7,American,LAX,"Los Angeles, CA",ATL,"Atlanta, GA",-3,-18,276,261
27,4,American,PIT,"Pittsburgh, PA",DFW,"Dallas/Fort Worth, TX",-2,-22,178,158
15,6,American,DFW,"Dallas/Fort Worth, TX",MSP,"Minneapolis, MN",-1,-10,149,140
13,4,American,DFW,"Dallas/Fort Worth, TX",MCO,"Orlando, FL",-3,-14,162,151
12,3,American,MIA,"Miami, FL",STX,"Christiansted, VI",54,48,164,158
9,7,American,ORD,"Chicago, IL",SEA,"Seattle, WA",1,-13,279,265
13,4,American,DFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL",-4,-8,146,142
6,4,American,PHX,"Phoenix, AZ",JFK,"New York, NY",-3,-12,301,292
12,3,American,MIA,"Miami, FL",MCO,"Orlando, FL",4,3,68,67
31,1,American,ORD,"Chicago, IL",MSP,"Minneapolis, MN",-5,0,92,97
27,4,American,DFW,"Dallas/Fort Worth, TX",SAT,"San Antonio, TX",-7,-13,72,66
9,7,American,DFW,"Dallas/Fort Worth, TX",RIC,"Richmond, VA",-3,-5,175,173
25,2,American,LAX,"Los Angeles, CA",BOS,"Boston, MA",-6,-20,336,322
6,4,American,DFW,"Dallas/Fort Worth, TX",SJC,"San Jose, CA",0,-13,225,212
21,5,American,DFW,"Dallas/Fort Worth, TX",DAY,"Dayton, OH",30,4,145,119
5,3,American,DFW,"Dallas/Fort Worth, TX",MIA,"Miami, FL",-3,11,179,193
13,4,American,MIA,"Miami, FL",BDL,"Hartford, CT",24,32,183,191
28,5,American,MIA,"Miami, FL",JFK,"New York, NY",33,16,184,167
21,5,American,DFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX",5,0,61,56
31,1,American,AUS,"Austin, TX",DFW,"Dallas/Fort Worth, TX",-9,-22,68,55
5,3,American,MFE,"Mission/McAllen/Edinburg, TX",DFW,"Dallas/Fort Worth, TX",-6,-11,102,97
2,7,American,STL,"St. Louis, MO",LAX,"Los Angeles, CA",-2,-13,244,233
4,2,American,DFW,"Dallas/Fort Worth, TX",RNO,"Reno, NV",-4,4,210,218
8,6,American,BWI,"Baltimore, MD",DFW,"Dallas/Fort Worth, TX",11,10,199,198
11,2,American,ORD,"Chicago, IL",SFO,"San Francisco, CA",3,-13,283,267
30,7,American,CLT,"Charlotte, NC",ORD,"Chicago, IL",-6,-32,133,107
26,3,American,SAT,"San Antonio, TX",DFW,"Dallas/Fort Worth, TX",1,-2,75,72
27,4,American,DFW,"Dallas/Fort Worth, TX",BWI,"Baltimore, MD",-6,-21,184,169
15,6,American,DFW,"Dallas/Fort Worth, TX",CMH,"Columbus, OH",-4,-10,155,149
31,1,American,DFW,"Dallas/Fort Worth, TX",EGE,"Eagle, CO",-2,-10,144,136
